Designator,Mid X,Mid Y,Rotation,Layer
R40,198.4125,-113.552,180.0,top
R41,102.73,-185.42,0.0,top
R42,98.375,-99.442,0.0,top
R43,296.744,-100.303,90.0,top
R44,155.9487,-168.3993,0.0,top
R45,127.9885,-166.4274,90.0,top
R46,129.0045,-166.4274,90.0,top
R47,129.0045,-168.6012,90.0,top
R48,319.0625,-156.417,-90.0,top
R49,176.7125,-173.827,-90.0,top
R5,315.8925,-170.417,-135.0,top
R50,336.0525,-99.427,-90.0,top
R51,317.8375,-154.467,-90.0,top
R52,266.86,-107.01,0.0,top
R53,335.51,-138.582,180.0,top
R54,264.72,-107.01,180.0,top
R55,266.86,-104.61,0.0,top
R56,311.5875,-96.0845,90.0,top
R57,266.86,-105.66,0.0,top
R58,264.72,-105.66,180.0,top
R59,218.46,-111.52,90.0,top
R6,314.7965,-169.321,-135.0,top
R60,264.72,-104.61,180.0,top
R61,343.915,-133.98,-90.0,top
R63,322.8625,-154.442,-90.0,top
R64,299.0625,-132.142,90.0,top
R65,300.0875,-133.162,-90.0,top
R66,305.2,-167.692,90.0,top
R67,321.6574,-154.442,-90.0,top
R68,284.7625,-142.342,180.0,top
R69,334.5055,-162.217,180.0,top
R7,309.0125,-169.657,-90.0,top
R70,284.7625,-131.85,180.0,top
R71,284.7625,-137.532,180.0,top
R72,327.51,-138.58,0.0,top
R73,299.0625,-139.762,90.0,top
R74,300.0875,-140.782,-90.0,top
R8,309.1195,-174.542,0.0,top
R9,308.4725,-175.587,0.0,top
RN1,179.6785,-97.567,-90.0,top
RN10,211.5814,-178.942,0.0,top
RN11,125.98,-117.93,-90.0,top
RN12,125.98,-123.0,-90.0,top
RN13,125.98,-153.56,-90.0,top
RN14,285.5625,-121.212,90.0,top
RN15,255.0625,-129.412,90.0,top
RN16,341.2875,-167.492,-180.0,top
RN2,175.8177,-97.567,-90.0,top
RN3,143.1097,-97.567,90.0,top
RN4,146.9705,-97.567,90.0,top
RN5,139.9343,-97.567,-90.0,top
RN6,136.0735,-97.567,-90.0,top
RN7,182.8539,-97.567,90.0,top
RN8,186.7147,-97.567,90.0,top
RN9,201.4214,-178.942,0.0,top
